type,NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
cloves,28,63,60,756,4,25,0,24.75,1010.32,46.49,243.51,55.56
cloves,28,64,61,756,5,25,0,24.75,1010.32,46.49,243.33,55.47
cloves,28,64,61,756,4,25,0,24.75,1010.33,46.5,242.97,55.47
cloves,28,64,61,756,4,24,0,24.75,1010.33,46.49,244.05,55.56
cloves,28,64,61,756,4,24,0,24.75,1010.32,46.5,244.41,55.56
cloves,28,64,61,756,4,24,0,24.75,1010.32,46.52,243.87,55.47
cloves,28,64,60,756,5,25,0,24.75,1010.33,46.52,244.59,55.47
cloves,28,64,61,756,4,24,0,24.75,1010.33,46.53,244.23,55.47
cloves,28,64,61,756,4,25,0,24.75,1010.33,46.53,244.95,55.47
cloves,28,64,61,756,4,25,0,24.75,1010.33,46.53,243.87,55.47
cloves,28,64,61,756,4,25,0,24.75,1010.33,46.53,244.23,55.47
cloves,28,64,61,756,4,25,0,24.75,1010.33,46.55,243.87,55.47
cloves,28,64,61,756,4,25,0,24.75,1010.33,46.55,245.31,55.47
cloves,28,64,61,756,4,25,0,24.75,1010.33,46.55,243.51,55.47
cloves,28,64,61,755,4,25,0,24.76,1010.33,46.56,243.33,55.47
cloves,28,64,61,756,4,28,0,24.76,1010.33,46.55,243.33,55.47
cloves,28,64,61,755,4,25,0,24.76,1010.33,46.55,243.69,55.47
cloves,28,64,61,756,4,24,0,24.76,1010.33,46.56,243.87,55.39
cloves,28,63,61,756,4,25,0,24.76,1010.34,46.56,243.51,55.47
cloves,28,64,61,757,4,25,0,24.76,1010.33,46.54,243.15,55.47
cloves,28,64,61,756,4,25,0,24.76,1010.33,46.55,243.15,55.47
cloves,28,64,61,756,4,25,0,24.76,1010.33,46.56,241.2,55.47
cloves,28,64,62,756,4,25,0,24.76,1010.33,46.55,242.43,55.47
cloves,28,64,61,757,4,25,0,24.76,1010.33,46.56,243.15,55.47
cloves,28,64,61,757,4,25,0,24.76,1010.33,46.57,243.51,55.47
cloves,29,64,61,757,4,25,0,24.76,1010.33,46.57,241.73,55.39
cloves,28,64,61,756,4,25,0,24.76,1010.34,46.57,243.33,55.39
cloves,28,64,62,757,4,25,0,24.76,1010.34,46.55,243.33,55.39
cloves,29,63,62,757,4,23,0,24.76,1010.34,46.57,242.79,55.39
cloves,29,63,62,757,4,25,0,24.76,1010.34,46.57,241.02,55.47
cloves,29,64,62,757,4,25,0,24.76,1010.33,46.57,242.61,55.56
cloves,29,64,61,757,4,25,0,24.76,1010.32,46.58,241.37,55.56
cloves,29,64,62,757,4,25,0,24.76,1010.32,46.57,240.5,55.47
cloves,28,64,62,757,4,25,0,24.76,1010.33,46.58,241.9,55.56
cloves,29,64,62,758,4,25,0,24.76,1010.32,46.58,241.02,55.56
cloves,29,64,62,758,4,25,0,24.77,1010.32,46.56,240.32,55.47
cloves,29,64,62,758,4,25,0,24.77,1010.33,46.58,240.67,55.56
cloves,29,64,62,758,4,24,0,24.77,1010.32,46.57,239.1,55.56
cloves,29,64,62,759,4,24,0,24.77,1010.32,46.57,240.67,55.56
cloves,29,64,63,758,4,25,0,24.77,1010.32,46.59,239.97,55.56
cloves,29,64,62,758,4,25,0,24.77,1010.32,46.56,239.28,55.56
